Object Name,RA,DEC,Redshift z,Heliocentric Velocity,Magnitude,Associations
WISEA J130221.45+282254.3,195.58936,28.38175,0.018574,5568,18.98,0
SDSS J125453.17+275310.2,193.72155,27.88609,0.024817,7440,19,0
WISEA J125524.41+271650.0,193.85183,27.28052,0.021933,6575,19,0
WISEA J125612.29+284731.4,194.0512,28.792,0.023683,7100,19,0
WISEA J130019.69+280717.4,195.08208,28.12151,0.022645,6789,19,0
WISEA J130015.68+271524.3,195.06519,27.25666,0.023885,7161,19.01,0
WISEA J125937.86+281341.0,194.90761,28.22811,0.020343,6099,19.02,0
WISEA J130011.19+272736.3,195.04665,27.46009,0.022822,6842,19.02,0
WISEA J125738.78+272718.7,194.41136,27.45524,0.025589,7671,19.03,0
WISEA J130010.45+262740.3,195.04356,26.46122,0.022112,6629,19.03,0
WISEA J125708.53+271024.7,194.28556,27.17354,0.02,5996,19.04,0
WISEA J125941.50+264341.6,194.92306,26.72825,0.022979,6889,19.04,0
WISEA J125953.53+291359.5,194.97334,29.2332,0.023964,7184,19.04,0
WISEA J130029.95+274613.0,195.12481,27.77029,0.027876,8357,19.04,0
WISEA J125433.10+273415.1,193.63786,27.57085,0.023946,7179,19.05,1
SDSS J130522.91+274043.4,196.34547,27.67879,0.022756,6822,19.05,0
WISEA J125346.30+272155.5,193.44277,27.36538,0.017608,5279,19.06,0
WISEA J125707.66+281407.2,194.28192,28.23558,0.021682,6500,19.06,0
WISEA J130113.91+282602.6,195.30787,28.43404,0.025534,7655,19.06,0
WISEA J130554.10+273827.3,196.47545,27.64093,0.021917,6571,19.06,0
WISEA J125850.26+270453.0,194.70948,27.08134,0.027129,8133,19.07,0
WISEA J125934.77+283214.3,194.89494,28.5373,0.019726,5914,19.07,0
WISEA J125935.96+274814.5,194.89983,27.80416,0.02158,6470,19.09,0
WISEA J125927.39+283227.1,194.86407,28.54082,0.027008,8097,19.1,0
WISEA J125500.44+271137.8,193.75187,27.19385,0.024832,7444,19.11,0
