

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is funded by the National Aeronautics and Space Administration.
and operated by the California Institute of Technology.


queryDateTime:2026-05-18T03:35:50PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
141|SDSS J125453.17+275310.2|193.72155 |  27.88609 |G|  7440| 0.024817 |SLS |19.00|  0.000|2|0|21|5|1|4|0
142|CGCG 159-119|193.72364 |  28.41698 |G|  7392| 0.024658 |SLS |15.1g|  0.000|58|0|52|24|18|8|0
143|NGC 4797|193.72979 |  27.41281 |G|  7841| 0.026155 |SLS |13.8g|  0.000|125|1|93|40|31|11|0
144|WISEA J125455.40+290045.4|193.73087 |  29.01262 |G|  6412| 0.021388 |SLS |16.6g|  0.000|36|0|70|22|13|10|0
145|WISEA J125455.53+285850.2|193.73093 |  28.98005 |G|  6888| 0.022976 |SUN |21.6g|  0.000|7|0|27|9|1|4|1
146|WISEA J125455.57+292115.3|193.73142 |  29.35431 |G|  6659| 0.022213 |SLS |20.2g|  0.000|0|0|27|3|1|4|0
147|WISEA J125455.61+280400.4|193.73173 |  28.06679 |G|  6303| 0.021025 |SLS |18.2g|  0.000|22|0|18|14|9|0|0
148|WISEA J125456.75+280734.5|193.73647 |  28.12627 |G|  6304| 0.021028 |SLS |17.54|  0.000|30|0|48|23|16|6|0
149|WISEA J125456.78+275833.4|193.73662 |  27.97587 |G|  6114| 0.020395 |SLS |19.2g|  0.000|1|0|27|4|1|4|0
150|WISEA J125457.75+281830.4|193.74066 |  28.30845 |G|  6310| 0.021048 |SLS |16.2g|  0.000|30|0|48|17|14|6|0
151|SDSS J125459.40+274828.1|193.74737 |  27.80774 |G|  4987| 0.016635 |SLS |21.3g|  0.000|0|0|15|2|1|4|0
152|WISEA J125500.23+271756.2|193.75105 |  27.29883 |G|  8404| 0.028034 |SLS |19.3g|  0.000|1|0|27|4|1|4|0
153|WISEA J125500.44+271137.8|193.75187 |  27.19385 |G|  7444| 0.024832 |SLS |19.11|  0.000|14|0|38|12|6|4|0
154|WISEA J125500.88+272900.2|193.75368 |  27.48341 |G|  6960| 0.023215 |SLS |16.6g|  0.000|41|0|52|28|23|6|0
155|WISEA J125503.76+274504.8|193.76569 |  27.75131 |G|  6376| 0.021268 |SLS |18.3g|  0.000|2|0|29|5|1|4|0
156|WISEA J125504.98+280345.0|193.77079 |  28.06252 |G|  6267| 0.020904 |SLS |18.75|  0.000|19|0|37|14|8|4|0
157|SDSS J125505.07+274034.5|193.77118 |  27.67624 |G|  7412| 0.024725 |SLS |21.5g|  0.000|0|0|15|2|1|4|0
158|KUG 1252+269|193.77125 |  26.72418 |G|  6635| 0.022131 |SLS |16.43|  0.000|35|0|53|19|11|6|0
159|SMDG J1255062+273727|193.77580 |  27.62427 |G|  6900| 0.023016 |SUN |     |  0.000|8|0|0|8|1|0|0
160|SMDG J1255076+274407|193.78163 |  27.73529 |G|  6900| 0.023016 |SUN |     |  0.000|7|0|0|7|1|0|0
161|2MASS J12550919+2712200|193.78833 |  27.20557 |G|  7893| 0.026328 |SUN |16.50|  0.000|4|0|8|3|2|0|0
162|WISEA J125509.87+273940.1|193.79118 |  27.66123 |G|  8015| 0.026735 |SLS |19.40|  0.000|2|0|34|6|1|4|0
163|SDSS J125512.44+275904.0|193.80185 |  27.98444 |G| 10315| 0.034408 |SLS |20.0g|  0.000|0|0|15|2|1|4|1
164|WISEA J125512.82+284904.8|193.80353 |  28.81800 |G|  6646| 0.022168 |SLS |18.9g|  0.000|2|0|27|4|1|4|0
165|WISEA J125513.24+274052.2|193.80521 |  27.68129 |G|  7749| 0.025849 |SLS |20.67|  0.000|1|0|31|5|1|4|0
166|2MASX J12551389+2742319|193.80781 |  27.70889 |G|  6674| 0.022262 |SLS |16.9g|  0.000|32|0|34|17|15|6|0
167|WISEA J125515.68+281507.2|193.81548 |  28.25195 |G|  6365| 0.021230 |SLS |18.3g|  0.000|19|0|33|12|8|4|0
168|WISEA J125516.18+281650.4|193.81733 |  28.28091 |G|  6687| 0.022307 |SLS |20.62|  0.000|1|0|27|4|1|4|0
169|SDSS J125516.98+275738.0|193.82074 |  27.96055 |G|  6015| 0.020065 |SLS |19.77|  0.000|1|0|15|3|1|4|0
170|2MASX J12551702+2633239|193.82091 |  26.55677 |G| 17763| 0.059251 |SLS |16.6g|  0.000|18|0|41|8|7|6|0
171|SDSS J125517.74+275401.9|193.82402 |  27.90048 |G|  6920| 0.023081 |SLS |20.2g|  0.000|1|0|15|3|1|4|0
